"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"VN","Vietnam","2098","30","1085770","0.99561924597465","558357","1.0182145141645842","527413","0.9727660081955638","1.0586712879659774"
"VN","Vietnam","2098","31","1091451","1.0008285563593373","561281","1.0235466927517913","530170","0.9778510475946591","1.0586811777354435"
"VN","Vietnam","2098","32","1097200","1.0061002207496856","564227","1.0289189903297367","532973","0.9830209298709249","1.0586408692372784"
"VN","Vietnam","2098","33","1103117","1.0115259362128426","567266","1.0344608818230756","535851","0.9883291429251859","1.0586263718832287"
"VN","Vietnam","2098","34","1109182","1.0170873633353787","570374","1.0401286010600932","538808","0.9937830643989346","1.0585848762453416"
"VN","Vietnam","2098","35","1115499","1.0228798670671284","573608","1.0460260926986118","541891","0.9994693815797149","1.0585302210223089"
"VN","Vietnam","2098","36","1122232","1.0290538305982146","577046","1.052295596796703","545186","1.005546713759628","1.0584387713550971"
"VN","Vietnam","2098","37","1129387","1.035614755752666","580701","1.058960820030712","548686","1.0120021500660603","1.05834849075792"
"VN","Vietnam","2098","38","1136952","1.0425516388824247","584558","1.0659944085433173","552394","1.018841223730132","1.0582265556830812"
"VN","Vietnam","2098","39","1144824","1.0497700320083285","588578","1.0733252423054829","556246","1.0259458924879545","1.0581253618003545"
"VN","Vietnam","2098","40","1152862","1.0571406422656981","592676","1.0807983161257206","560186","1.0332128693586242","1.05799859332436"
"VN","Vietnam","2098","41","1161191","1.064778090988469","596918","1.0885339869762451","564273","1.040750974554164","1.0578532022620257"
"VN","Vietnam","2098","42","1169887","1.0727520679476734","601345","1.0966070220670678","568542","1.0486247624376384","1.0576967049048267"
"VN","Vietnam","2098","43","1178833","1.0809552875747486","605903","1.1049189475118322","572930","1.0567180351555314","1.057551533346133"
"VN","Vietnam","2098","44","1187510","1.088911842091195","610310","1.1129555107928928","577200","1.064593667449379","1.0573631323631323"
"VN","Vietnam","2098","45","1195349","1.0960999751849396","614264","1.1201659875828442","581085","1.071759201749519","1.0570983591040897"
"VN","Vietnam","2098","46","1202641","1.102786525321384","617903","1.1268020333690434","584738","1.0784968328430613","1.0567177094698823"
"VN","Vietnam","2098","47","1209688","1.1092484176433153","621416","1.1332083067537422","588272","1.0850149791021848","1.0563412843038595"
"VN","Vietnam","2098","48","1220573","1.1192296434023932","626883","1.14317787595219","593690","1.0950079945045423","1.0559096498172447"
"VN","Vietnam","2098","49","1234877","1.132345991887267","634106","1.1563496700477431","600771","1.1080682643576418","1.0554870324965753"
"VN","Vietnam","2098","50","1247688","1.1440933031596185","640533","1.168069886114768","607155","1.1198429801805747","1.0549744299231663"
"VN","Vietnam","2098","51","1258902","1.154376212269614","646109","1.178238226676419","612793","1.130241765865051","1.0543674617693086"
"VN","Vietnam","2098","52","1268889","1.1635339983657016","651056","1.1872595288210543","617833","1.1395375941463135","1.0537734306843436"
"VN","Vietnam","2098","53","1278054","1.171938034569831","655567","1.1954857455128778","622487","1.1481214800234956","1.053141672034918"
"VN","Vietnam","2098","54","1286589","1.179764379250927","659753","1.2031192952960683","626836","1.1561428207368312","1.0525129379933507"
"VN","Vietnam","2098","55","1293997","1.1865572979852632","663296","1.20958027639541","630701","1.163271466829506","1.0516805903272708"
"VN","Vietnam","2098","56","1299883","1.1919545873576043","665996","1.2145039707132825","633887","1.1691477582787329","1.0506541386714037"
"VN","Vietnam","2098","57","1304457","1.1961488112089615","668006","1.2181693875943655","636451","1.173876826475788","1.0495796219976086"
"VN","Vietnam","2098","58","1308555","1.1999065570206933","670159","1.222095577915247","638396","1.1774642046517911","1.0497543844259676"
"VN","Vietnam","2098","59","1312462","1.2034891614341723","672608","1.2265615510206063","639854","1.1801533549760137","1.051189802673735"
"VN","Vietnam","2098","60","1315813","1.2065619301543073","674670","1.2303217946070704","641143","1.182530799947154","1.052292546280627"
"VN","Vietnam","2098","61","1318838","1.2093357664355393","676460","1.233586021580771","642378","1.184808646758138","1.053055988841461"
"VN","Vietnam","2098","62","1321686","1.2119472989079192","678125","1.236622299743459","643561","1.1869905842297122","1.053707418566383"
"VN","Vietnam","2098","63","1324700","1.214711048511765","679833","1.2397369922971355","644867","1.1893993841771981","1.0542220333805266"
"VN","Vietnam","2098","64","1327989","1.217726965050268","681664","1.2430759864808483","646325","1.1920885345014205","1.054676826673887"
"VN","Vietnam","2098","65","1330952","1.2204439491498682","683162","1.2458077250320236","647790","1.1947905956982559","1.0546041155312678"
"VN","Vietnam","2098","66","1334468","1.223668018030798","684781","1.2487601180322592","649687","1.1982894421763421","1.0540167803880947"
"VN","Vietnam","2098","67","1339362","1.228155672497029","687076","1.2529452582024507","652286","1.2030830647364619","1.0533355000720543"
"VN","Vietnam","2098","68","1345325","1.2336235686110741","689870","1.2580403700262048","655455","1.2089280012093429","1.052505511438619"
"VN","Vietnam","2098","69","1351934","1.2396838277788966","692944","1.2636460871866273","658990","1.21544799187884","1.051524302341462"
"VN","Vietnam","2098","70","1357694","1.244965578846631","695277","1.2679005237953667","662417","1.2217687862280238","1.0496062148163467"
"VN","Vietnam","2098","71","1361789","1.2487205737463485","696439","1.27001953594254","665350","1.2271784418528142","1.046725783422259"
"VN","Vietnam","2098","72","1365952","1.2525379226517266","697541","1.2720291326604274","668411","1.2328241820053827","1.043580970390972"
"VN","Vietnam","2098","73","1370864","1.2570420825900446","698928","1.2745584526674232","671936","1.239325728571147","1.0401704924278503"
"VN","Vietnam","2098","74","1376433","1.262148692259526","700560","1.277534552344004","675873","1.2465871722106967","1.0365260929198237"
"VN","Vietnam","2098","75","1379254","1.2647354665237758","700305","1.2770695367695384","678949","1.2522605785188643","1.0314544980550822"
"VN","Vietnam","2098","76","1375834","1.2615994268273085","696386","1.2699228856466707","679448","1.2531809392951243","1.0249290600605196"
"VN","Vietnam","2098","77","1369700","1.25597472872844","690984","1.2600718498299492","678716","1.2518308309018933","1.0180753069030346"
"VN","Vietnam","2098","78","1363997","1.25074524498898","685658","1.2503594068903234","678339","1.2511354881911718","1.0107895904555098"
"VN","Vietnam","2098","79","1341112","1.229760371172122","676200","1.2331118880538647","664912","1.2263705901093236","1.0169766826286786"
"VN","Vietnam","2098","80","1303946","1.1956802391958343","654382","1.1933247907844782","649564","1.1980625797004305","1.007417282977505"
"VN","Vietnam","2098","81","1280158","1.1738673408626283","633926","1.1560214237598851","646232","1.1919170043367069","0.9809573032595105"
"VN","Vietnam","2098","82","1254846","1.1506569792260846","617573","1.1262002485079703","637273","1.1753929318026128","0.9690870317744514"
"VN","Vietnam","2098","83","1211919","1.1112941792113908","591622","1.0788762517512622","620297","1.1440822213060422","0.9537721446339414"
"VN","Vietnam","2098","84","1166107","1.0692859188094728","565804","1.031794792529472","600303","1.1072050803029532","0.9425306886688889"
"VN","Vietnam","2098","85","1102579","1.0110326059915855","529547","0.9656768722023956","573032","1.0569061650136047","0.9241141855952199"
"VN","Vietnam","2098","86","1017511","0.933027744909983","480250","0.875779331910483","537261","0.9909297615514914","0.8938858394709461"
"VN","Vietnam","2098","87","944243","0.8658431377518641","438538","0.7997137254708161","505705","0.9327275478126963","0.8671814595465736"
"VN","Vietnam","2098","88","885040","0.811555723088135","403896","0.7365409037820227","481144","0.8874269846348997","0.8394493124719419"
"VN","Vietnam","2098","89","834701","0.7653963364564192","376158","0.6859581508230784","458543","0.8457414657887052","0.8203330985316535"
"VN","Vietnam","2098","90","768158","0.7043783570640146","340960","0.621771412822901","427198","0.7879284226386692","0.7981310773926844"
"VN","Vietnam","2098","91","690203","0.6328959083686614","297042","0.5416829657664834","393161","0.7251502267637999","0.7555225467429374"
"VN","Vietnam","2098","92","623994","0.5721841971805316","258145","0.47075076655082065","365849","0.6747756906491474","0.7056053180410498"
"VN","Vietnam","2098","93","572228","0.5247162934006117","229087","0.4177608741475831","343141","0.6328928198930135","0.667617684858411"
"VN","Vietnam","2098","94","505185","0.46323982867246616","197208","0.3596266329774128","307977","0.568035973527473","0.6403335314000721"
"VN","Vietnam","2098","95","437962","0.401598309223454","165831","0.30240783423226925","272131","0.5019212392873648","0.6093793062899854"
"VN","Vietnam","2098","96","377831","0.3464599457765899","137842","0.2513673600608116","239989","0.4426382010698355","0.5743679918662938"
"VN","Vietnam","2098","97","316540","0.290257896350807","111122","0.20264102221875416","205418","0.37887509005564196","0.5409555150960481"
"VN","Vietnam","2098","98","267096","0.24491919847006746","90104","0.16431279733984833","176992","0.3264458807851707","0.5090851563912493"
"VN","Vietnam","2098","99","223648","0.20507865673553197","72403","0.13203342210997335","151245","0.2789578469046801","0.4787133458957321"
"VN","Vietnam","2098","100+","797738","0.7315023495264424","213956","0.3901681264721276","583782","1.0767335765262187","0.3664998235642757"
"VN","Vietnam","2099","TOTAL","108569028","100","54582900","100","53986128","100","1.01105417302756"
"VN","Vietnam","2099","0","888301","0.8181900642971585","457012","0.8372805402424568","431289","0.7988885589275824","1.059642142507692"
"VN","Vietnam","2099","1","893816","0.8232697818755457","459864","0.8425056198919442","433952","0.8038213075773836","1.059711673180444"
"VN","Vietnam","2099","2","899452","0.8284609492865682","462780","0.8478479523806907","436672","0.8088596389057574","1.0597885827348674"
"VN","Vietnam","2099","3","905138","0.8336981703474402","465724","0.853241582986613","439414","0.8139387214434048","1.059875197422021"
"VN","Vietnam","2099","4","910897","0.8390026297370923","468699","0.8586920079365515","442198","0.8190956017442109","1.0599301670292494"
"VN","Vietnam","2099","5","916770","0.8444120914484009","471731","0.8642468611964552","445039","0.8243580647235897","1.059976766081175"
"VN","Vietnam","2099","6","922776","0.849944055868309","474827","0.8699189672956181","447949","0.829748338313872","1.0600023663408111"
"VN","Vietnam","2099","7","928880","0.8555662854419218","477974","0.8756845092510658","450906","0.8352256713057843","1.0600302502073602"
"VN","Vietnam","2099","8","935083","0.8612797012422364","481174","0.8815471512140248","453909","0.8407882113716323","1.0600671059617677"
"VN","Vietnam","2099","9","941421","0.8671174618971443","484436","0.8875233818650163","456985","0.8464859713591609","1.0600698053546616"
"VN","Vietnam","2099","10","947918","0.8731016731585735","487791","0.8936699955480563","460127","0.8523059849745105","1.0601225313880733"
"VN","Vietnam","2099","11","954576","0.8792341771725174","491228","0.8999668394313971","463348","0.8582723324777062","1.0601707571846646"
"VN","Vietnam","2099","12","961393","0.8855131317929823","494745","0.9064102493638118","466648","0.864385013868748","1.0602102655534793"
"VN","Vietnam","2099","13","968312","0.8918860358591402","498318","0.9129562555305784","469994","0.8705829023337254","1.060264599122542"
"VN","Vietnam","2099","14","975353","0.8983713108309305","501946","0.9196030258560831","473407","0.876904896754218","1.0602842797001313"
"VN","Vietnam","2099","15","982152","0.9046336861374498","505440","0.926004298049389","476712","0.8830268397837311","1.0602628001812415"
"VN","Vietnam","2099","16","988708","0.9106722407057011","508782","0.9321270947494544","479926","0.8889802209930668","1.0601259360818127"
"VN","Vietnam","2099","17","995400","0.9168360612015427","512194","0.9383781367424596","483206","0.8950558558302237","1.0599909769332334"
"VN","Vietnam","2099","18","1002151","0.9230542250042064","515632","0.9446768127014138","486519","0.9011926174812908","1.0598393896230158"
